591750,127,322,-93
591800,114,323,-150
591850,136,228,-220
591900,163,239,-187
591950,129,228,-186
592000,147,190,-118
592050,141,208,-134
592100,136,185,-57
592150,106,201,-19
592200,152,227,61
592250,66,141,-148
592300,129,217,32
592350,156,228,59
592400,132,227,-32
592450,134,258,-37
592500,173,213,-32
592550,157,266,-120
592600,164,252,-123
592650,158,304,-95
592700,191,294,-114
592750,160,352,-68
592800,217,379,-110
592850,56,432,31
592900,98,309,-119
592950,152,446,163
593000,186,336,-35
593050,156,286,-82
593100,190,315,-99
593150,191,281,-63
593200,160,240,-45
593250,178,277,-85
593300,128,136,-4
593350,145,197,-49
593400,207,219,57
593450,139,147,1
593500,131,244,-7
593550,150,295,55
593600,111,222,-24
593650,95,216,-45
593700,83,216,11
593750,90,263,-17
593800,114,239,-54
593850,72,319,-94
593900,57,405,-74
593950,66,511,-26
594000,54,493,-115
594050,29,320,-87
594100,63,336,-151
594150,96,408,-24
594200,126,352,-88
594250,131,269,-75
594300,130,275,-65
594350,122,201,-41
594400,108,207,-32
594450,139,192,-7
594500,119,167,-40
594550,164,231,35
594600,117,155,-37
594650,88,223,-75
594700,141,292,50
594750,97,228,-19
594800,63,221,-50
594850,61,219,-6
594900,79,236,-30
594950,95,256,-32
595000,98,283,-45
595050,117,345,-81
595100,67,414,-72
595150,105,482,-170
595200,19,410,-120
595250,60,290,-96
595300,92,432,-40
595350,112,410,-11
595400,137,337,-77
595450,158,252,-60
595500,115,215,-63
595550,98,177,-41
595600,93,151,-15
595650,95,193,4
595700,58,180,-35
595750,96,230,24
595800,99,181,1
595850,45,261,-39
595900,129,314,92
595950,89,218,-34
596000,67,240,-30
596050,71,214,-5
596100,91,234,-5
596150,95,256,-53
596200,102,255,-80
596250,52,375,-59
596300,35,428,-70
596350,78,400,-107
596400,84,405,-215
596450,94,410,-223
596500,187,308,-124
596550,137,166,-80
596600,146,166,-69
596650,107,142,-117
596700,102,135,-112
596750,65,159,-115
596800,67,162,-208
596850,31,155,-189
596900,29,131,-186
596950,1,121,-216
597000,-6,124,-197
597050,13,119,-268
597100,-20,159,-208
597150,-8,121,-228
597200,-36,137,-204
597250,-13,102,-205
597300,-21,93,-265
597350,-28,122,-187
597400,-20,105,-223
597450,-26,102,-229
